lane	family	plane	corpus	mode	cwd	artifact	status_artifact	command	notes
pmu	pmu-direct	direct	numbers	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-numbers-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 26645 numbers track2 > /tmp/skv12-pin-p1/logs/pmu-direct-numbers-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-numbers-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	random	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-random-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 7836 random track1 > /tmp/skv12-pin-p1/logs/pmu-direct-random-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-random-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	random	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-random-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 7836 random track2 > /tmp/skv12-pin-p1/logs/pmu-direct-random-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-random-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	twitter	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-twitter-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 6334 twitter track1 > /tmp/skv12-pin-p1/logs/pmu-direct-twitter-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-twitter-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	twitter	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-twitter-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 6334 twitter track2 > /tmp/skv12-pin-p1/logs/pmu-direct-twitter-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-twitter-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	unicode_basic	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-unicode_basic-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 3815 unicode_basic track1 > /tmp/skv12-pin-p1/logs/pmu-direct-unicode_basic-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-unicode_basic-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	unicode_basic	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-unicode_basic-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 3815 unicode_basic track2 > /tmp/skv12-pin-p1/logs/pmu-direct-unicode_basic-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-unicode_basic-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	unicode_escapes	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-unicode_escapes-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 3807 unicode_escapes track1 > /tmp/skv12-pin-p1/logs/pmu-direct-unicode_escapes-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-unicode_escapes-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	unicode_escapes	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-unicode_escapes-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 3807 unicode_escapes track2 > /tmp/skv12-pin-p1/logs/pmu-direct-unicode_escapes-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-unicode_escapes-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	unicode_mixed	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-unicode_mixed-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 3799 unicode_mixed track1 > /tmp/skv12-pin-p1/logs/pmu-direct-unicode_mixed-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-unicode_mixed-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	unicode_mixed	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-unicode_mixed-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 3799 unicode_mixed track2 > /tmp/skv12-pin-p1/logs/pmu-direct-unicode_mixed-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-unicode_mixed-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	update_center	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-update_center-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 7503 update-center track1 > /tmp/skv12-pin-p1/logs/pmu-direct-update_center-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-update_center-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	update_center	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-update_center-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 7503 update-center track2 > /tmp/skv12-pin-p1/logs/pmu-direct-update_center-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-update_center-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	y_string_unicode	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-y_string_unicode-track1.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 100000 y_string_unicode track1 > /tmp/skv12-pin-p1/logs/pmu-direct-y_string_unicode-track1.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-y_string_unicode-track1.rerun.log.err	exact pin PMU command ledger
pmu	pmu-direct	direct	y_string_unicode	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-direct-y_string_unicode-track2.rerun.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/profile_direct 100000 y_string_unicode track2 > /tmp/skv12-pin-p1/logs/pmu-direct-y_string_unicode-track2.rerun.log.out 2> /tmp/skv12-pin-p1/logs/pmu-direct-y_string_unicode-track2.rerun.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	apache_builds	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-apache_builds-track1.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/apache_builds.json track1 31429 > /tmp/skv12-pin-p1/logs/pmu-parse-apache_builds-track1.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-apache_builds-track1.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	apache_builds	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-apache_builds-track2.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/apache_builds.json track2 31429 > /tmp/skv12-pin-p1/logs/pmu-parse-apache_builds-track2.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-apache_builds-track2.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	canada	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-canada-track1.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/canada.json track1 1777 > /tmp/skv12-pin-p1/logs/pmu-parse-canada-track1.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-canada-track1.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	canada	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-canada-track2.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/canada.json track2 1777 > /tmp/skv12-pin-p1/logs/pmu-parse-canada-track2.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-canada-track2.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	citm_catalog	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-citm_catalog-track1.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/citm_catalog.json track1 2316 > /tmp/skv12-pin-p1/logs/pmu-parse-citm_catalog-track1.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-citm_catalog-track1.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	citm_catalog	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-citm_catalog-track2.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/citm_catalog.json track2 2316 > /tmp/skv12-pin-p1/logs/pmu-parse-citm_catalog-track2.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-citm_catalog-track2.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	distinct_values	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-distinct_values-track1.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/distinct_values.json track1 26037 > /tmp/skv12-pin-p1/logs/pmu-parse-distinct_values-track1.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-distinct_values-track1.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	distinct_values	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-distinct_values-track2.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/distinct_values.json track2 26037 > /tmp/skv12-pin-p1/logs/pmu-parse-distinct_values-track2.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-distinct_values-track2.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	github_events	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-github_events-track1.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/github_events.json track1 61414 > /tmp/skv12-pin-p1/logs/pmu-parse-github_events-track1.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-github_events-track1.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	github_events	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-github_events-track2.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/github_events.json track2 61414 > /tmp/skv12-pin-p1/logs/pmu-parse-github_events-track2.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-github_events-track2.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	gsoc-2018	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-gsoc-2018-track1.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/gsoc-2018.json track1 1202 > /tmp/skv12-pin-p1/logs/pmu-parse-gsoc-2018-track1.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-gsoc-2018-track1.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	gsoc-2018	track2	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-gsoc-2018-track2.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/gsoc-2018.json track2 1202 > /tmp/skv12-pin-p1/logs/pmu-parse-gsoc-2018-track2.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-gsoc-2018-track2.log.err	exact pin PMU command ledger
pmu	pmu-parse	parse	instruments	track1	/Users/mkbabb/Programming/bbnf-lang/skinny	/tmp/skv12-pin-p1/logs/pmu-parse-instruments-track1.log.out	/tmp/skv12-pin-p1/pmu/capture_status.tsv	cd /Users/mkbabb/Programming/bbnf-lang/skinny && /tmp/skv12-pin-profile-target-cf7848b2/release/xctrace_probe /Users/mkbabb/Programming/bbnf-lang/skinny/test_data/instruments.json track1 18154 > /tmp/skv12-pin-p1/logs/pmu-parse-instruments-track1.log.out 2> /tmp/skv12-pin-p1/logs/pmu-parse-instruments-track1.log.err	exact pin PMU command ledger
